"FACILITY/SITE ID","FACILITY/SITE NAME","FACILITY/SITE ADDRESS","CITY","COUNTY","DISTRICT","DOCUMENT DATE","DATE RECEIVED","DOCUMENT TYPE","SUBJECT","PERMIT NUMBER","FILE TYPE","FILE SIZE","FILE PATH"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","04-01-2022","05-25-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2022 APR MO PART B (736911)","",".xlsx","12.6 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1183234.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","04-01-2022","05-25-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2022 APR MO PART B (693088)","",".xlsx","12.6 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1095717.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","04-01-2022","05-25-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2022 APR MO PART A (693088) D-001 D-002","",".pdf","54.2 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1095718.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","04-01-2022","05-25-2022","DISCHARGE MONITORING REPORTS RELATED","DMR (R) 2022 APR MO PART A (736911) D-001 D-002","",".pdf","53.0 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1183235.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","03-01-2022","04-27-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2022 MAR MO PART B (736840)","",".xlsx","12.6 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1183053.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","03-01-2022","04-27-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2022 MAR MO PART B (689024)","",".xlsx","12.6 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1087641.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","03-01-2022","04-27-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2022 MAR MO PART A (689024) D-001 D-002","",".pdf","54.4 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1087642.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","03-01-2022","04-27-2022","DISCHARGE MONITORING REPORTS RELATED","DMR (R) 2022 MAR MO PART A (736840) D-001 D-002","",".pdf","53.1 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1183052.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","02-01-2022","04-05-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2022 FEB MO PART B (736838)","",".xlsx","12.6 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1183050.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","02-01-2022","04-05-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2022 FEB MO PART B (685667)","",".xlsx","12.6 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1080982.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","02-01-2022","04-05-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2022 FEB MO PART A (685667) D-001 D-002","",".pdf","54.2 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1080983.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","02-01-2022","04-05-2022","DISCHARGE MONITORING REPORTS RELATED","DMR (R) 2022 FEB MO PART A (736838) D-001 D-002","",".pdf","52.7 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1183049.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","01-01-2022","02-07-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2022 JAN MO PART B (736839)","",".xlsx","12.7 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1183047.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","01-01-2022","02-07-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2022 JAN MO PART B (680139)","",".xlsx","12.7 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1080986.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","01-01-2022","02-07-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2022 JAN MO PART A (680139) D-001 D-002","",".pdf","54.3 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1080987.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","01-01-2022","02-07-2022","DISCHARGE MONITORING REPORTS RELATED","DMR (R) 2022 JAN MO PART A (736839) D-001 D-002","",".pdf","52.7 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1183046.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","12-01-2021","01-20-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 DEC MO PART B (736837)","",".xlsx","13.3 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1183030.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","12-01-2021","01-20-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 DEC MO PART B (677408)","",".xlsx","13.3 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1062755.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","12-01-2021","01-20-2022","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 DEC MO PART A (677408) D-001 D-002","",".pdf","54.1 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1062756.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","12-01-2021","01-20-2022","DISCHARGE MONITORING REPORTS RELATED","DMR (R) 2021 DEC MO PART A (736837) D-001 D-002","",".pdf","52.7 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1183031.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","11-01-2021","12-13-2021","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 NOV MO PART B (736836)","",".xlsx","12.7 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1183024.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","11-01-2021","12-13-2021","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 NOV MO PART B (674962)","",".xlsx","12.7 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1049657.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","11-01-2021","12-13-2021","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 NOV MO PART A (674962) D-001 D-002","",".pdf","54.2 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1049658.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","11-01-2021","12-13-2021","DISCHARGE MONITORING REPORTS RELATED","DMR (R) 2021 NOV MO PART A (736836) D-001 D-002","",".pdf","52.7 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1183023.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","10-01-2021","11-15-2021","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 OCT MO PART B (736835)","",".xlsx","13.0 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1183022.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","10-01-2021","11-15-2021","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 OCT MO PART B (671383)","",".xlsx","13.0 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1039320.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","10-01-2021","11-15-2021","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 OCT MO PART A (671383) D-001 D-002","",".pdf","54.1 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1039321.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","10-01-2021","11-15-2021","DISCHARGE MONITORING REPORTS RELATED","DMR (R) 2021 OCT MO PART A (736835) D-001 D-002","",".pdf","52.8 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1183021.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","09-01-2021","10-18-2021","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 SEP MO PART B (736834)","",".xlsx","12.7 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1183010.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","09-01-2021","10-18-2021","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 SEP MO PART B (668448)","",".xlsx","12.7 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1030638.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","09-01-2021","10-18-2021","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 SEP MO PART A (668448) D-001 D-002","",".pdf","54.2 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1030639.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","09-01-2021","10-18-2021","DISCHARGE MONITORING REPORTS RELATED","DMR (R) 2021 SEP MO PART A (736834) D-001 D-002","",".pdf","51.8 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1183009.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","08-01-2021","09-10-2021","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 AUG MO PART B (736833)","",".xlsx","12.5 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1183008.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","08-01-2021","09-10-2021","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 AUG MO PART B (665882)","",".xlsx","12.5 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1021316.1"
